PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Processed
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,7.25,S,True
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,71.2833,C,True
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,7.925,S,True
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,53.1,S,True
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,8.05,S,True
6,0,3,"Moran, Mr. James",male,,0,0,8.4583,Q,True
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,51.8625,S,True
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,21.075,S,True
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,11.1333,S,True
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,30.0708,C,True
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,16.7,S,True
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,26.55,S,True
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,8.05,S,True
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,31.275,S,True
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,7.8542,S,True
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,16.0,S,True
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,29.125,Q,True
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,13.0,S,True
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,18.0,S,True
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,7.225,C,True
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,26.0,S,True
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,13.0,S,True
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,8.0292,Q,True
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,35.5,S,True
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,21.075,S,True
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,31.3875,S,True
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,7.225,C,True
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,263.0,S,True
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,7.8792,Q,True
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,7.8958,S,True
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,27.7208,C,True
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,146.5208,C,True
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,7.75,Q,True
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,10.5,S,True
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,82.1708,C,True
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,52.0,S,True
37,1,3,"Mamee, Mr. Hanna",male,,0,0,7.2292,C,True
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,8.05,S,True
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,18.0,S,True
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,11.2417,C,True
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,9.475,S,True
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,21.0,S,True
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,7.8958,C,True
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,41.5792,C,True
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,7.8792,Q,True
46,0,3,"Rogers, Mr. William John",male,,0,0,8.05,S,True
47,0,3,"Lennon, Mr. Denis",male,,1,0,15.5,Q,True
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,7.75,Q,True
49,0,3,"Samaan, Mr. Youssef",male,,2,0,21.6792,C,True
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,17.8,S,True
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,39.6875,S,True
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,7.8,S,True
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,76.7292,C,True
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,26.0,S,True
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,61.9792,C,True
56,1,1,"Woolner, Mr. Hugh",male,,0,0,35.5,S,True
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,10.5,S,True
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,7.2292,C,True
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,27.75,S,True
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,46.9,S,True
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,7.2292,C,True
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,80.0,,True
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,83.475,S,True
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,27.9,S,True
65,0,1,"Stewart, Mr. Albert A",male,,0,0,27.7208,C,True
66,1,3,"Moubarek, Master. Gerios",male,,1,1,15.2458,C,True
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,10.5,S,True
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,8.1583,S,True
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,7.925,S,True
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,8.6625,S,True
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,10.5,S,True
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,46.9,S,True
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,73.5,S,True
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,14.4542,C,True
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,56.4958,S,True
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,7.65,S,True
77,0,3,"Staneff, Mr. Ivan",male,,0,0,7.8958,S,True
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,8.05,S,True
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,29.0,S,True
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,12.475,S,True
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,9.0,S,True
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,9.5,S,True
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,7.7875,Q,True
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,47.1,S,True
